id,category_1,category_2,category_3,color_type,life_style,fabric,weight_of_fabric,neck_style,form_type,sleeve_type,washing_style,fabric_type
590,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Modern Youngs,versatile,Light,Bycyle,Fit,No Sleeve,washless,Cotton
591,T-shirts,WOMENSWEAR,Trendy Shirts,White,Township,Nubbly,Light,Bycyle,Very Large,Short,washless,Cotton
592,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Medium,Bycyle,Fit,Short,washless,Cotton
593,T-shirts,WOMENSWEAR,Trendy Shirts,White,Township,versatile,Light,Bycyle,Man Friend,Short,Light,Cotton
594,T-shirts,WOMENSWEAR,Long Sleeves,White,Designment,Figure,Medium,Bycyle,Very Large,Long,washless,Cotton
595,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
596,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
597,T-shirts,WOMENSWEAR,Colorful Tees,Blue,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
598,T-shirts,WOMENSWEAR,Colorful Tees,Gray,Business Based,Figure,Light,V Style,Very Large,Short,Mid,Cotton
599,T-shirts,WOMENSWEAR,Simple,Grey,Basics,Tabby,Light,Bycyle,Narrow,Long,washless,Cotton
600,T-shirts,WOMENSWEAR,Long Sleeves,Black,Designment,Figure,Medium,Bendy,Very Large,Long,Mid,Cotton
601,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
602,T-shirts,WOMENSWEAR,Trendy Shirts,White,Daily cuteness,versatile,Light,V Style,Narrow,No Sleeve,washless,Decorative
603,T-shirts,WOMENSWEAR,Trendy Shirts,White,Urban Style,versatile,Light,Bycyle,Narrow,No Sleeve,washless,Cotton
604,T-shirts,WOMENSWEAR,Trendy Shirts,Grey,Urban Style,versatile,Light,Bycyle,Narrow,No Sleeve,washless,Cotton
605,T-shirts,WOMENSWEAR,Trendy Shirts,White,Urban Style,versatile,Light,Bycyle,Narrow,No Sleeve,washless,Cotton
606,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Urban Style,versatile,Light,Bycyle,Narrow,No Sleeve,washless,Cotton
607,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Light,V Style,Fit,Short,washless,Cotton
608,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Township,versatile,Light,Bycyle,Man Friend,Short,Light,Cotton
609,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Cute,Nubbly,Medium,Bycyle,Man Friend,Long,washless,Decorative
610,T-shirts,WOMENSWEAR,Long Sleeves,Gray,Cute,Figure,Medium,Bycyle,Very Large,Long,Mid,Cotton
611,T-shirts,WOMENSWEAR,Trendy Shirts,White,Cute,Nubbly,Light,Bycyle,Very Large,Long,washless,Decorative
612,T-shirts,WOMENSWEAR,Trendy Shirts,Yellow,Cute,Nubbly,Light,Bycyle,Very Large,Long,washless,Decorative
613,T-shirts,WOMENSWEAR,Long Sleeves,Purple,Daily youth,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
614,T-shirts,WOMENSWEAR,Long Sleeves,Grey,Daily youth,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
615,T-shirts,WOMENSWEAR,Long Sleeves,Red,Daily youth,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
616,T-shirts,WOMENSWEAR,Long Sleeves,Green,Daily youth,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
617,T-shirts,WOMENSWEAR,Long Sleeves,Black,Township,Tabby,Medium,Bycyle,Very Large,Long,washless,Cotton
618,T-shirts,WOMENSWEAR,Long Sleeves,Black,Mateoric,Nubbly,Medium,Bendy,Very Large,Long,washless,Cotton
619,T-shirts,WOMENSWEAR,Long Sleeves,Red,Mateoric,Figure,Medium,Bycyle,Man Friend,Long,washless,Decorative
620,T-shirts,WOMENSWEAR,Long Sleeves,White,Township,Nubbly,Heavy,,Very Large,Long,washless,Decorative
621,T-shirts,WOMENSWEAR,Long Sleeves,Black,Mateoric,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
622,T-shirts,WOMENSWEAR,Long Sleeves,Green,Mateoric,Pressed,Heavy,High,Very Large,Long,washless,Decorative
623,T-shirts,WOMENSWEAR,Long Sleeves,Red,Mateoric,versatile,Heavy,Bendy,Very Large,Long,washless,Decorative
624,T-shirts,WOMENSWEAR,Long Sleeves,Red,Mateoric,versatile,Medium,Bendy,Man Friend,Long,washless,Cotton
625,T-shirts,WOMENSWEAR,Long Sleeves,Red,Mark,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
626,T-shirts,WOMENSWEAR,Long Sleeves,Grey,Mateoric,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
627,T-shirts,WOMENSWEAR,Long Sleeves,Red,Designment,Figure,Medium,Bycyle,Very Large,Long,washless,Cotton
628,T-shirts,WOMENSWEAR,Long Sleeves,Black,Township,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
629,T-shirts,WOMENSWEAR,Long Sleeves,Black,Designment,Lace,Medium,Bendy,Very Large,Long,washless,Cotton
630,T-shirts,WOMENSWEAR,Long Sleeves,White,Designment,Figure,Medium,Bycyle,Very Large,Long,washless,Cotton
631,T-shirts,WOMENSWEAR,Long Sleeves,Black,Designment,Figure,Medium,Bycyle,Very Large,Long,washless,Cotton
632,T-shirts,WOMENSWEAR,Long Sleeves,Black,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
633,T-shirts,WOMENSWEAR,Long Sleeves,Grey,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
634,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Wide,Short,washless,Cotton
635,T-shirts,WOMENSWEAR,Colorful Tees,Blue,Mark,Figure,Light,Bycyle,Wide,Short,washless,Cotton
636,T-shirts,WOMENSWEAR,Colorful Tees,White,Mark,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
637,T-shirts,WOMENSWEAR,Long Sleeves,Green,Basics,versatile,Medium,Bendy,Wide,Long,Mid,Decorative
638,T-shirts,WOMENSWEAR,Long Sleeves,White,Daily youth,versatile,Medium,Bendy,Very Large,Long,Other,Cotton
639,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Daily cuteness,Pressed,Light,,Narrow,Short,washless,Polyester
640,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Light,Bycyle,Man Friend,Short,washless,Cotton
641,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,Bycyle,Very Large,Short,Mid,Cotton
642,T-shirts,WOMENSWEAR,Simple,Brown,Basics,versatile,Light,Bycyle,Very Large,Short,washless,Cotton
643,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,Bycyle,Very Large,Short,Light,Cotton
644,T-shirts,WOMENSWEAR,Simple,Grey,Basics,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
645,T-shirts,WOMENSWEAR,Simple,Pink,Basics,versatile,,Bycyle,Man Friend,Short,washless,Cotton
646,T-shirts,WOMENSWEAR,Simple,Grey,Basics,versatile,Light,Bycyle,Man Friend,Short,Mid,Cotton
647,T-shirts,WOMENSWEAR,Simple,Purple,Basics,versatile,Light,Bycyle,Wide,Short,washless,Cotton
648,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Light,Bycyle,Fit,Short,Mid,Cotton
649,T-shirts,WOMENSWEAR,Simple,Red,Basics,versatile,Light,V Style,Wide,Short,washless,Cotton
650,T-shirts,WOMENSWEAR,Trendy Shirts,White,Mark,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
651,T-shirts,WOMENSWEAR,Trendy Shirts,Red,Mateoric,versatile,Light,Bycyle,Man Friend,Long,washless,Cotton
652,T-shirts,WOMENSWEAR,Trendy Shirts,White,Township,versatile,Medium,Bycyle,Normal,Long,washless,Decorative
653,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Township,versatile,Medium,High,Narrow,Long,washless,Decorative
654,T-shirts,WOMENSWEAR,Colorful Tees,White,Cute,Figure,Light,Bycyle,Normal,Short,washless,Cotton
655,T-shirts,WOMENSWEAR,Colorful Tees,White,Cute,Figure,Light,Bycyle,Normal,Short,washless,Cotton
656,T-shirts,WOMENSWEAR,Trendy Shirts,Purple,Township,versatile,Medium,V Style,Very Large,Long,washless,Decorative
657,T-shirts,WOMENSWEAR,Long Sleeves,Black,Mateoric,versatile,Medium,Bycyle,Very Large,Long,washless,Cotton
658,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Cute,Figure,Light,Bycyle,Very Large,Short,Mid,Cotton
659,T-shirts,WOMENSWEAR,Trendy Shirts,Pink,Township,versatile,Light,Bare,Man Friend,Long,washless,Decorative
660,T-shirts,WOMENSWEAR,Colorful Tees,Purple,Daily,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
661,T-shirts,WOMENSWEAR,Long Sleeves,Black,Visual,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
662,T-shirts,WOMENSWEAR,Long Sleeves,Black,Urban Style,versatile,Medium,Bycyle,Man Friend,Long,Other,Cotton
663,T-shirts,WOMENSWEAR,Long Sleeves,White,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
664,T-shirts,WOMENSWEAR,Colorful Tees,Yellow,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
665,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
666,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
667,T-shirts,WOMENSWEAR,Long Sleeves,White,Basics,versatile,Medium,Bendy,Wide,Long,washless,Cotton
668,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Basics,versatile,Medium,Bendy,Wide,Long,Mid,Decorative
669,T-shirts,WOMENSWEAR,Long Sleeves,Black,Basics,versatile,Medium,Bendy,Wide,Long,Mid,Decorative
670,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,V Style,Wide,Short,washless,Cotton
671,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,,V Style,Wide,Short,washless,Cotton
672,T-shirts,WOMENSWEAR,Simple,Pink,Basics,Nubbly,Light,Bycyle,Very Large,Short,washless,Cotton
673,T-shirts,WOMENSWEAR,Simple,Blue,Basics,Nubbly,Light,Bycyle,Very Large,Short,washless,Cotton
674,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Medium,Bycyle,Fit,Short,washless,Cotton
675,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Light,Bycyle,Normal,Short,washless,Cotton
676,T-shirts,WOMENSWEAR,Trendy Shirts,White,Basics,Nubbly,Light,Bare,Fit,Short,washless,Cotton
677,T-shirts,WOMENSWEAR,Long Sleeves,Gray,Designment,Figure,Medium,Bycyle,Very Large,Short,Mid,Cotton
678,T-shirts,WOMENSWEAR,Long Sleeves,White,Daily youth,versatile,Medium,Bycyle,Man Friend,Long,Other,Cotton
679,T-shirts,WOMENSWEAR,Long Sleeves,Green,Mark,Figure,Medium,Bycyle,Man Friend,Long,washless,Cotton
680,T-shirts,WOMENSWEAR,Trendy Shirts,Purple,Daily youth,versatile,Light,Bycyle,Man Friend,Short,Other,Cotton
681,T-shirts,WOMENSWEAR,Long Sleeves,Black,Daily cuteness,Lace,Medium,Bycyle,Normal,Long,washless,Cotton
682,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Daily youth,Tabby,Light,Bycyle,Normal,Short,washless,Polyester
683,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
684,T-shirts,WOMENSWEAR,Trendy Shirts,Grey,Visual,versatile,Light,V Style,Fit,Long,washless,Decorative
685,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Visual,versatile,Medium,Bare,Narrow,Long,washless,Decorative
686,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Visual,versatile,Medium,Bare,Fit,No Sleeve,washless,Decorative
687,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Visual,versatile,Medium,Bare,Fit,Long,washless,Decorative
688,T-shirts,WOMENSWEAR,Trendy Shirts,White,Cute,versatile,Light,Bycyle,Fit,Short,washless,Cotton
689,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
690,T-shirts,WOMENSWEAR,Colorful Tees,Green,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
691,T-shirts,WOMENSWEAR,Colorful Tees,Grey,Press,Figure,Light,Bycyle,Wide,Short,washless,Cotton
692,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Wide,Short,washless,Cotton
693,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Wide,Short,washless,Cotton
694,T-shirts,WOMENSWEAR,Colorful Tees,Black,Press,Figure,Light,Bycyle,Wide,Short,washless,Cotton
695,T-shirts,WOMENSWEAR,Colorful Tees,Grey,Press,Figure,Light,Bycyle,Wide,Short,washless,Cotton
696,T-shirts,WOMENSWEAR,Long Sleeves,Black,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
697,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
698,T-shirts,WOMENSWEAR,Long Sleeves,White,Designment,Pressed,Medium,Bycyle,Very Large,Long,washless,Cotton
699,T-shirts,WOMENSWEAR,Long Sleeves,Purple,Township,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
700,T-shirts,WOMENSWEAR,Trendy Shirts,White,Mateoric,versatile,Light,Bycyle,Man Friend,Long,washless,Cotton
701,T-shirts,WOMENSWEAR,Long Sleeves,Black,Mateoric,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
702,T-shirts,WOMENSWEAR,Simple,Green,Mateoric,versatile,Light,Bycyle,Man Friend,Short,washless,Cotton
703,T-shirts,WOMENSWEAR,Trendy Shirts,White,Urban Style,versatile,Medium,Bycyle,Man Friend,Long,Other,Cotton
704,T-shirts,WOMENSWEAR,Long Sleeves,Green,Daily youth,versatile,Medium,Bendy,Very Large,Long,Other,Cotton
705,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Urban Style,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
706,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Light,Bycyle,Narrow,Short,washless,Cotton
707,T-shirts,WOMENSWEAR,Simple,Pink,Basics,versatile,Light,Bycyle,Man Friend,Short,washless,Cotton
708,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,Bycyle,Man Friend,Short,washless,Cotton
709,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,V Style,Very Large,Short,washless,Cotton
710,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Medium,V Style,Narrow,Short,washless,Cotton
711,T-shirts,WOMENSWEAR,Simple,Green,Daily,versatile,Medium,V Style,Narrow,Short,washless,Cotton
712,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Medium,V Style,Narrow,Short,washless,Cotton
713,T-shirts,WOMENSWEAR,Simple,Purple,Basics,versatile,Light,Bycyle,Very Large,Short,Mid,Cotton
714,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,Bycyle,Man Friend,Short,washless,Cotton
715,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,Bycyle,Fit,Short,Mid,Cotton
716,T-shirts,WOMENSWEAR,Trendy Shirts,White,Mateoric,versatile,Medium,Bycyle,Fit,Short,washless,Cotton
717,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Mateoric,versatile,Light,Bycyle,Fit,No Sleeve,Mid,Cotton
718,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Cute,Figure,Light,Bycyle,Fit,Short,washless,Cotton
719,T-shirts,WOMENSWEAR,Trendy Shirts,White,Cute,Pressed,Light,Bare,Fit,Short,washless,Cotton
720,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Light,V Style,Fit,Short,washless,Cotton
721,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Light,V Style,Fit,Short,washless,Cotton
722,T-shirts,WOMENSWEAR,Trendy Shirts,White,Township,Nubbly,Light,Bycyle,Fit,No Sleeve,washless,Decorative
723,T-shirts,WOMENSWEAR,Long Sleeves,White,Designment,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
724,T-shirts,WOMENSWEAR,Long Sleeves,Gray,Designment,Figure,Medium,Bycyle,Very Large,Long,Mid,Cotton
725,T-shirts,WOMENSWEAR,Trendy Shirts,Blue,Daily cuteness,versatile,,V Style,Narrow,No Sleeve,washless,Decorative
726,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Township,versatile,Light,Bycyle,Very Large,No Sleeve,washless,Decorative
727,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Township,versatile,Light,Bycyle,Very Large,No Sleeve,washless,Decorative
728,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Medium,Bycyle,Fit,Short,washless,Cotton
729,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,Light,V Style,Wide,Short,washless,Cotton
730,T-shirts,WOMENSWEAR,Simple,White,Basics,versatile,Medium,V Style,Fit,Short,washless,Cotton
731,T-shirts,WOMENSWEAR,Simple,Blue,Basics,versatile,,Bycyle,Man Friend,Short,washless,Cotton
732,T-shirts,WOMENSWEAR,Trendy Shirts,White,Mateoric,Nubbly,Light,Bycyle,Narrow,Short,washless,Cotton
733,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Daily youth,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
734,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Daily youth,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
735,T-shirts,WOMENSWEAR,Long Sleeves,Red,Mark,Figure,Medium,Bycyle,Man Friend,Long,Other,Cotton
736,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Daily cuteness,versatile,Light,Bycyle,Normal,Short,washless,Cotton
737,T-shirts,WOMENSWEAR,Trendy Shirts,White,Daily cuteness,versatile,Light,Bycyle,Wide,Short,washless,Cotton
738,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Daily cuteness,Lace,Medium,Bycyle,Normal,Long,washless,Cotton
739,T-shirts,WOMENSWEAR,Trendy Shirts,Blue,Basics,versatile,Light,Bycyle,Fit,Short,washless,Cotton
740,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Casual Modern,versatile,Light,High,Normal,Short,washless,Decorative
741,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
742,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
743,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
744,T-shirts,WOMENSWEAR,Long Sleeves,Black,Daily youth,Square,Medium,High,Man Friend,Long,washless,Decorative
745,T-shirts,WOMENSWEAR,Long Sleeves,White,Township,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
746,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Light,Bare,Fit,No Sleeve,washless,Cotton
747,T-shirts,WOMENSWEAR,Colorful Tees,White,Cute,Figure,Light,Bycyle,Normal,Short,washless,Cotton
748,T-shirts,WOMENSWEAR,Colorful Tees,White,Daily,Figure,Light,Bycyle,Normal,Short,washless,Cotton
749,T-shirts,WOMENSWEAR,Colorful Tees,Blue,Cute,Figure,Light,Bycyle,Normal,Short,washless,Cotton
750,T-shirts,WOMENSWEAR,Trendy Shirts,White,Township,versatile,Medium,V Style,Very Large,Long,washless,Decorative
751,T-shirts,WOMENSWEAR,Long Sleeves,Black,Mark,Lace,Heavy,Bendy,Very Large,Long,washless,Cotton
752,T-shirts,WOMENSWEAR,Colorful Tees,Black,Daily,Figure,Light,Bycyle,Normal,Short,washless,Cotton
753,T-shirts,WOMENSWEAR,Trendy Shirts,Blue,Township,versatile,Light,Bycyle,Fit,Short,washless,Decorative
754,T-shirts,WOMENSWEAR,Trendy Shirts,White,Township,versatile,Medium,V Style,Normal,No Sleeve,washless,Decorative
755,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Bronze,versatile,Light,V Style,Normal,No Sleeve,washless,Decorative
756,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Daily,Lace,Light,Bycyle,Normal,Short,washless,Cotton
757,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Daily,versatile,Medium,Bycyle,Wide,Short,washless,Decorative
758,T-shirts,WOMENSWEAR,Trendy Shirts,Red,Township,versatile,Medium,Bare,Very Large,Short,washless,Decorative
759,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Township,versatile,Medium,Bare,Very Large,Short,washless,Decorative
760,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Modern Youngs,versatile,,Bare,Normal,Short,washless,Decorative
761,T-shirts,WOMENSWEAR,Trendy Shirts,Pink,Daily,Lace,Medium,Bycyle,Fit,Short,washless,Decorative
762,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Mateoric,Figure,Medium,Bendy,Very Large,Long,washless,Decorative
763,T-shirts,WOMENSWEAR,Long Sleeves,Black,Mateoric,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
764,T-shirts,WOMENSWEAR,Trendy Shirts,Grey,Mateoric,Figure,Light,Bycyle,Very Large,Short,washless,Cotton
765,T-shirts,WOMENSWEAR,Trendy Shirts,Gray,Mateoric,Figure,Light,Bycyle,Very Large,Short,washless,Cotton
766,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Mateoric,versatile,Light,Bycyle,Normal,Short,washless,Cotton
767,T-shirts,WOMENSWEAR,Long Sleeves,Red,Daily,Nubbly,Heavy,Bycyle,Man Friend,Long,washless,Decorative
768,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Township,Nubbly,Medium,Bycyle,Very Large,Long,washless,Decorative
769,T-shirts,WOMENSWEAR,Long Sleeves,Grey,Mateoric,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
770,T-shirts,WOMENSWEAR,Long Sleeves,Red,Daily,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
771,T-shirts,WOMENSWEAR,Long Sleeves,Green,Cute,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
772,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Mateoric,Pressed,Light,Bycyle,Normal,Short,washless,Cotton
773,T-shirts,WOMENSWEAR,Long Sleeves,Green,Mateoric,versatile,Heavy,Bendy,Very Large,Long,Light,Cotton
774,T-shirts,WOMENSWEAR,Trendy Shirts,Grey,Township,versatile,Medium,Bare,Very Large,Short,washless,Decorative
775,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Modern Youngs,versatile,Medium,Bare,Normal,Short,washless,Decorative
776,T-shirts,WOMENSWEAR,Trendy Shirts,White,Daily,versatile,Medium,Bycyle,Narrow,Short,washless,Decorative
777,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Daily,versatile,Medium,Bycyle,Narrow,Short,washless,Decorative
778,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Daily,Lace,Medium,Bycyle,Fit,Short,washless,Decorative
779,T-shirts,WOMENSWEAR,Long Sleeves,White,Mateoric,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
780,T-shirts,WOMENSWEAR,Long Sleeves,Brown,Cute,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
781,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Daily,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
782,T-shirts,WOMENSWEAR,Long Sleeves,Green,Daily youth,versatile,Heavy,Bendy,Man Friend,Long,washless,Cotton
783,T-shirts,WOMENSWEAR,Long Sleeves,Orange,Daily youth,versatile,Heavy,Bendy,Man Friend,Long,washless,Cotton
784,T-shirts,WOMENSWEAR,Long Sleeves,Pink,Daily youth,versatile,Heavy,Bendy,Man Friend,Long,washless,Cotton
785,T-shirts,WOMENSWEAR,Long Sleeves,White,Basics,versatile,Medium,Bendy,Man Friend,Long,washless,Cotton
786,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Basics,versatile,Medium,Bendy,Man Friend,Long,washless,Cotton
787,T-shirts,WOMENSWEAR,Long Sleeves,Yellow,Basics,versatile,Medium,Bendy,Man Friend,Long,washless,Cotton
788,T-shirts,WOMENSWEAR,Long Sleeves,Brown,Basics,versatile,Medium,Bendy,Man Friend,Long,washless,Cotton
789,T-shirts,WOMENSWEAR,Trendy Shirts,White,Cute,versatile,Medium,Bycyle,Very Large,Long,washless,Decorative
790,T-shirts,WOMENSWEAR,Long Sleeves,Black,Cute,Nubbly,Medium,Bendy,Man Friend,Long,washless,Decorative
791,T-shirts,WOMENSWEAR,Trendy Shirts,White,Cute,Nubbly,Medium,Bycyle,Wide,Long,washless,Decorative
792,T-shirts,WOMENSWEAR,Long Sleeves,White,Cute,Nubbly,Medium,Bendy,Man Friend,Long,washless,Decorative
793,T-shirts,WOMENSWEAR,Trendy Shirts,Grey,Daily,Tabby,Medium,High,Wide,Long,washless,Decorative
794,T-shirts,WOMENSWEAR,Long Sleeves,Blue,Daily,Square,Medium,High,Man Friend,Long,washless,Decorative
795,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Visual,versatile,Medium,Bycyle,Man Friend,Long,washless,Decorative
796,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Daily,Nubbly,Medium,Bare,Very Large,Long,washless,Decorative
797,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Visual,versatile,Light,Bare,Very Large,Long,washless,Decorative
798,T-shirts,WOMENSWEAR,Trendy Shirts,Blue,Daily,versatile,Medium,Bare,Narrow,Long,washless,Decorative
799,T-shirts,WOMENSWEAR,Simple,Green,Basics,versatile,Medium,V Style,Fit,Long,washless,Decorative
800,T-shirts,WOMENSWEAR,Trendy Shirts,Green,Daily,versatile,Medium,Bycyle,Normal,Long,washless,Decorative
801,T-shirts,WOMENSWEAR,Simple,Red,Basics,versatile,Medium,Bare,Fit,Long,washless,Decorative
802,T-shirts,WOMENSWEAR,Trendy Shirts,White,Daily,Tabby,Medium,Bycyle,Man Friend,Long,washless,Decorative
803,T-shirts,WOMENSWEAR,Long Sleeves,Grey,Daily,versatile,Medium,Bycyle,Man Friend,Long,washless,Cotton
804,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Light,Bare,Fit,Short,washless,Decorative
805,T-shirts,WOMENSWEAR,Trendy Shirts,Black,Cute,Tabby,Light,Bycyle,Fit,Short,washless,Decorative
806,T-shirts,WOMENSWEAR,Colorful Tees,White,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
807,T-shirts,WOMENSWEAR,Colorful Tees,Yellow,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
808,T-shirts,WOMENSWEAR,Colorful Tees,Black,Press,Figure,Light,Bycyle,Very Large,Short,washless,Cotton
809,T-shirts,WOMENSWEAR,Colorful Tees,Green,Press,Figure,Light,Bycyle,Man Friend,Short,washless,Cotton
810,T-shirts,WOMENSWEAR,Simple,Black,Basics,versatile,Light,Bycyle,Man Friend,Short,Light,Cotton
811,T-shirts,WOMENSWEAR,Colorful Tees,Black,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
812,T-shirts,WOMENSWEAR,Colorful Tees,Black,Press,Figure,Light,Bycyle,Normal,Short,washless,Cotton
